bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
569247	1180086			0	cihm_30057	0	mbc	1887	[Winnipeg?	s.n.]	Some Red River settlement history	1854	NULL	Charles N. Bell	8663	NULL	NULL	33	NULL	NULL	NULL	NULL	eng	1854
705896	1261269	eng	LD4752 .6 1869	18006778	classof1869rutge00rutg	0	nyu	1916	Ithaca, N.Y	The Cayuga press	Class of 1869, Rutgers college, history to 1916	NULL	NULL	Rutgers university college, New Brunswick, N.J. Class of 1869. [from old catalog]	13031	USA	NY	NULL	NULL	NULL	LD	4752	Unknown	NULL
902742	58020			0	prophetsoflordth00oxfoiala	3549264	xx	1870	Oxford	James Parker and Co.	prophets of the Lord	NULL	NULL	NULL	58442	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
183060	838570			0	acompleteaccoun00unkngoog	23627207		1727		J. Roberts	A Complete Account of the Ceremonies Observed in the Coronations of the Kings and Queens of ...	NULL	NULL	NULL	29675	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
842295	1298031			0	sketchesproutsam00prouuoft	0	enk	1915	London	"The Studio"	Sketches	1783	NULL	Samuel Prout	12974	UK	NULL	132	NULL	NULL	NULL	NULL	eng	1783
531726	800546	fre	PQ2603 O9 B4	0	labecque00boyl	0		1920	Paris	C. L	becqu	1867	NULL	René Boylesve	49112	France	NULL	53	NULL	P	PQ	2603	fre	1867
571467	1181166			0	fullreportoftria00hall	0	nz	1887	Dunedin	Printed at the "Otago Daily Times" office	Full report of the trial of Thomas Hall for the murder of Captain Henry Cain.	NULL	NULL	Thomas Hall	84971	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
989210	1353741			0	socialjusticewit00claruoft	0	mau	1914	Boston	Houghton	Social justice without socialism.	1847	NULL	Clark, John Bates	6242	USA	MA	67	NULL	NULL	NULL	NULL		1847
697848	553230	fre		0	notessurlespagne00peti	26369798	fr	1877	Lyon	N. Scheuring	Notes sur l'Espagne artistique	NULL	NULL	Fernand Petit	NULL	France	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
872544	659389		PR4028 A78 S8 1871	0	strangetalesfrom00ashwuoft	0	|||	1871	Toronto	Wesleyan Methodist Conference Office	Strange tales from humble life.	1813	1865	John Ashworth	130809	Canada	NULL	58	NULL	P	PR	4028	eng	1813
106994	911832			0	bibliothqueduco03philgoog	11890654		1902		A. Colin	Biblioth	NULL	1900	International Congress of Philosophy	132298	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
710114	1272692	eng		0	cihm_90841	150593193	ilu	1914	Chicago	American Medical Association	Studies in liver function	1888	NULL	A. M. Chesney	42647	USA	IL	26	NULL	NULL	NULL	NULL	eng	1888
37150	329990	ger	PJ7760 I245 M34 1885	0	commentardesizze00ibnjuoft	0		1885	Leiden	E.J. Brill	Commentar des Izz-ed-D	1348	NULL	Muhammad ibn Abi Bakr Ibn Jamaah	14182	NULL	NULL	537	NULL	P	PJ	7760	Unknown	1348
710992	1275367	lat		0	observationesdep00kl	6560781	sz	1842	Turici [i.e. Zurich]	Meyer et Zeller	Observationes de prima insectorum genesi	1817	NULL	Albert Kölliker	NULL	Switzerland	NULL	25	NULL	NULL	NULL	NULL	lat	1817
920889	1327923			0	someaccountofchu05cottuoft	0	enk	1845	London	Printed by Vizetelly brothers	Some account of the church of St. Mary Magdalene	NULL	NULL	James Cottle	60836	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
198652	741094			0	kingdomallisrae00simegoog	10844338		1883			The kingdom of all-Israel: its history, literature and worship	NULL	1883	James Sime	211285	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
380128	156696	fre		0	mortsetvivantsn00ratigoog	4894457		1860		M. Levy fr	Morts et vivants: nouvelles impressions litt	1827	NULL	Louis Ratisbonne	74665	NULL	NULL	33	NULL	NULL	NULL	NULL	fre	1827
1015724	1363914			0	historyofuniteds00callrich	0	pau	1797	Philadelphia	from the press of Snowden & McCorkle, no. 47, North Fourth-Street.	history of the United States for 1796	1758	NULL	James Thomson Callender	107940	USA	PA	39	NULL	NULL	NULL	NULL	eng	1758
326355	625799	eng	E168 .M75	11020524	ourcountryitspeo00monr	0	xx	1911	New York and London	Harper & brothers	Our country and its people	1863	NULL	Monroe, Will Seymour	22377	USA	NY	48	NULL	E	E	168	eng	1863
853981	139506		HF1754 .H55	8028578	letterswhichhave00hermrich	0	pau	1831	Philadelphia	Printed by T.W. Ustick	Letters which have appeared in the Banner of the Constitution	NULL	1831	Hermann pseud.	38666	USA	PA	NULL	NULL	H	HF	1754	eng	NULL
799624	143256	ger	BL2400 .S3	3015800	diereligiondera00schngoog	5996542	gw	1891	Münster i. W	Aschendorff	religion der afrikanischen naturvölker.	1847	NULL	Schneider, Wilhelm	72581	Germany	NULL	44	NULL	B	BL	2400	ger	1847
787952	258972	eng	F74.S86 J7	1011642	stockbridgepastp00jone	3622667	mau	1854	Springfield, [Mass.]	S. Bowles & Co.	Stockbridge, past and present, or, Records of an old mission station	1806	NULL	Electa F. Jones	92279	USA	MA	48	NULL	F	F	74	eng	1806
628211	1213034	eng		0	cihm_40961	0	quc	1892	[Quebec?	s.n.]	Fiftieth report of the Incorporated Church Society of the Diocese of Quebec, for the year ending 31st December 1891	NULL	NULL	Church of England. Diocese of Quebec. Church Society	96406	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
851387	399426			0	selectedaddresse01harriala	513991	nyu	1894	New York	P. Cowen	Selected addresses	1859	NULL	Maurice H. Harris	54351	USA	NY	35	NULL	NULL	NULL	NULL	eng	1859
75742	1015706	ger		0	aufzweiplanetenr00lass	0	ge	1900	Leipzig	B. Elischer Nachfolger	Auf zwei Planeten	1848	NULL	Kurd Laßwitz	153171	Germany	NULL	52	NULL	NULL	NULL	NULL	ger	1848
723469	522428	ger	N6923.B9 R64 1921	32020665	daslebenmichelan1922roll	11898569	gw	1921	Frankfurt am Main	Rütten & Loening	Das Leben Michelangelos	1866	NULL	Romain Rolland	36343	Germany	NULL	55	NULL	N	N	6923	ger	1866
407533	916456	fre		0	rsumdelhistoire00mrgoog	18821332		1826		Lecointe et Durey Libraries	R	NULL	NULL	NULL	70259	NULL	NULL	NULL	NULL	NULL	NULL	NULL	fre	NULL
819730	747496	eng	PZ3.C761 O	6030408	otherfolk00conkgoog	24458187	nyu	1890	New York	R. Carter and Brothers	Other folk.	1841	NULL	Conklin, Nathaniel Mrs.	161836	USA	NY	49	NULL	P	PZ	3	eng	1841
780257	616156	fre	JX1552 .B6	24018986	lecrimedelsemaj00bompgoog	10836127	fr	1888	Paris	A. Rousseau	crime de lèse-majesté ...	1860	NULL	Raoul Henri Bertrand Bompard	81061	France	NULL	28	NULL	J	JX	1552	fre	1860
981654	1350770			0	littlelookingglass00pennrich	0	nyu	1913	New York	Reprinted, W. Abbatt	little looking-glass for the times, or, A brief remembrancer for Pennsylvania.	NULL	NULL	NULL	5181	USA	NY	NULL	NULL	NULL	NULL	NULL	eng	NULL
817309	778738	eng	E457 .R84	6011666	lincolnmasterofm00rothsc	11125982	mau	1906	Boston	Houghton, Mifflin and Company	Lincoln, master of men	1862	1906	Alonzo Rothschild	170994	USA	MA	44	NULL	E	E	457	eng	1862
477620	303843	ger		0	allgemeineliter13unkngoog	1479154		1832		C.A. Schwetschke [etc.]	Allgemeine Literatur-zeitung	NULL	NULL	NULL	190815	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
836901	480177	eng	HV4046.N6 O4	10002363	oldbreweryandne00missgoog	264062	nyu	1854	New York	Stringer & Townsend	The old brewery, and the new mission house at the Five Points	NULL	NULL	NULL	63154	USA	NY	NULL	NULL	H	HV	4046	eng	NULL
94538	1026980	eng		0	cihm_00698	0	onc	1878	[Ottawa?	s.n.	Canada's National Policy	1827	1878	C. C. Colby	24863	NULL	NULL	51	NULL	NULL	NULL	NULL	eng	1827
362069	839114	eng		1012208	argumentfordivi00choagoog	12218246		1854		William White, printer to the state	Argument for the Division of Worcester County: On the Petition of O.L. Huntley and Others ...	1799	NULL	Rufus Choate	26107	NULL	NULL	55	NULL	NULL	NULL	NULL	eng	1799
312814	1119396	eng		0	cihm_06327	0	onc	1900	Toronto	Dominion Pub. Co.	Glimpses of Canada	NULL	NULL	NULL	2220	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
625525	1211483	eng		0	readslessonsinsa00readrich	0	ilu	1910	Chicago	J.A. Lyons	Read's lessons in salesmanship	NULL	NULL	Harlan Eugene Read	46976	USA	IL	NULL	NULL	NULL	NULL	NULL	eng	NULL
161113	415896			0	findlingezurges00unkngoog	14416816		1860		W. Engelmann	Findlinge: Zur Geschichte deutscher Sprache und Dichtung	NULL	NULL	NULL	163307	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
